,date,Distributor,Producer_Rank,Daily,Daily,Daily,Daily
,,,,sum,min,max,mean
0,2005-01-09,Dimension Films,19.0,11489016.539066598,2547754.0062926067,5237136.366019927,3728472.0140085407
1,2005-01-09,DreamWorks Distribution,22.0,513658.023508128,201121.6000104877,251997.30600419507,217964.47958049295
2,2005-01-09,Fox Searchlight Pictures,10.0,9290443.34727845,7216.820603041428,2761060.313765076,488836.0648626864
3,2005-01-09,Lionsgate,7.0,3751816.0129732573,751209.2374619823,1519673.788710016,1040023.3564323173
4,2005-01-09,Miramax,23.0,35456891.73571055,2110418.1017304673,12120896.88515994,5707233.554535921
5,2005-01-09,New Line Cinema,14.0,3724358.7886733096,1453636.0671211327,2270722.721552177,1862179.3943366548
6,2005-01-09,Paramount Pictures,6.0,35727163.76837441,4183.483670686944,14778523.366607238,2209597.1692941794
7,2005-01-09,Revolution Studios,20.0,2499505.428437337,689932.4074462508,1148481.4379129526,902411.4007850778
8,2005-01-09,Sony Pictures Entertainment (SPE),5.0,24225287.06354484,1475674.0614577872,7145089.732915576,3458446.7192806583
9,2005-01-09,Twentieth Century Fox,4.0,30558949.05074463,1651660.5196224437,11316852.490089146,4769208.73711589
10,2005-01-09,United Artists,39.0,2111577.586601993,103928.75337703199,876442.9417199793,362688.0906640948
11,2005-01-09,Universal Pictures,3.0,151021200.3069481,87338.00340325118,48583240.9853697,9223129.759312615
12,2005-01-09,Walt Disney Studios Motion Pictures,1.0,37797620.88545884,2190775.8505715784,7431040.491211328,3754791.9129752545
13,2005-01-09,Warner Bros.,2.0,51275459.02487677,14399.401384373365,9997329.135537494,2476830.4955991087
14,2005-01-09,Warner Independent Pictures (WIP),35.0,2315047.7271106453,476293.0398898794,891556.710293655,622628.9241366395
15,2005-01-16,Dimension Films,19.0,1042758.2066072366,291038.4845306765,437335.90456213953,347586.0688690789
16,2005-01-16,Fox Searchlight Pictures,10.0,5843039.58192449,1206.1755374934453,1436278.033869953,182594.9869351403
17,2005-01-16,Lionsgate,7.0,1613397.5188620873,149979.75722076563,426836.7301415837,230485.35983744104
18,2005-01-16,Miramax,23.0,15549548.122705823,280143.9958049293,3344608.038804405,1110682.0087647017
19,2005-01-16,Paramount Pictures,6.0,47008621.62094914,1241.9717147351864,14783369.857734663,1620986.9524465222
20,2005-01-16,Sony Pictures Classics,38.0,2704945.9150498165,757945.1442055585,1062990.8285264815,901648.6383499388
21,2005-01-16,Sony Pictures Entertainment (SPE),5.0,6989482.194090195,254208.8872155218,1122801.571630834,499248.7281492996
22,2005-01-16,Twentieth Century Fox,4.0,26884485.46407971,158488.35291557424,7556689.742396436,1581440.3214164537
23,2005-01-16,United Artists,39.0,2981782.6553487154,162978.43862611434,964051.7509858416,425968.9507641022
24,2005-01-16,Universal Pictures,3.0,91387365.02323546,18917.50149449397,12805094.12246985,2611067.5720924414
25,2005-01-16,Walt Disney Studios Motion Pictures,1.0,11845327.018264292,169728.3525694809,1821664.347121133,564063.1913459187
26,2005-01-16,Warner Bros.,2.0,43348330.207760885,1592.151709491348,9227649.070618777,963296.2268391307
